lat_block,lon_block,count
0.543,0.42,138
0.789,0.378,138
0.8,0.168,138
0.403,0.922,138
0.8270000000000001,0.437,137
0.609,0.052000000000000005,137
0.627,0.389,137
0.739,0.488,137
0.773,0.425,137
0.767,0.546,136
0.732,0.465,136
0.86,0.595,136
0.524,0.255,135
0.715,0.481,135
0.713,0.483,134
0.667,0.113,134
0.25,0.376,134
0.982,0.34800000000000003,134
0.53,0.23600000000000002,134
0.75,0.488,134
0.772,0.459,134
0.76,0.426,134
0.34400000000000003,0.256,134
0.887,0.431,134
0.756,0.435,134
0.739,0.46,134
0.87,0.47000000000000003,133
0.711,0.47400000000000003,133
0.717,0.533,132
0.358,0.035,132
0.8260000000000001,0.501,132
0.721,0.497,132
0.6910000000000001,0.538,132
0.737,0.6930000000000001,131
0.778,0.71,131
0.23900000000000002,0.373,130
0.557,0.20700000000000002,130
0.803,0.442,130
0.9530000000000001,0.256,130
0.743,0.253,130
0.708,0.524,130
0.627,0.452,130
0.762,0.517,130
0.874,0.264,130
0.909,0.303,130
0.55,0.77,129
0.714,0.444,129
0.736,0.484,129
0.802,0.376,129
0.796,0.494,129
0.895,0.258,129
0.675,0.424,128
0.789,0.341,128
0.742,0.49,128
0.752,0.549,128
0.295,0.152,128
0.578,0.5640000000000001,128
0.794,0.431,128
0.6930000000000001,0.449,128
0.483,0.054,127
0.727,0.48,127
0.619,0.036000000000000004,127
